p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_7_a,p2_7_b,p3_1,p3_2,p3_3_a,p3_3_b,p3_3_c,p3_4,p3_5,p3_6_a,p3_6_b,p3_6_c,p3_8,p3_9,p3_10
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,1.00 ,Analiza matematica,,,1,1,,DF,DI,4,2,2,0,0,,,,,,,,5
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,2.00 ,Chimie,,,1,1,,DF,DI,3,2,0,1,0,,,,,,,,3
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,3.00 ,Stiinta si ingineria materialelor,,,1,,,DD,DI,3,2,0,1,0,,,,,,,,3
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,4.00 ,Geometrie descriptiva,,,1,,,DF,DI,4,2,0,2,0,,,,,,,,5
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,5.00 ,"Algebra liniara, geometrie analitica si diferentiala",,,1,,,DF,DI,3,2,1,0,0,,,,,,,,4
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,6.00 ,Programarea calculatoarelor si limbaje de programare I,,,1,,,DF,DI,3,1,0,2,0,,,,,,,,3
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,7.00 ,Disciplina socio-umana I,,,1,,,DC,DI,2,1,1,0,0,,,,,,,,2
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,8.00 ,Limbi moderne 1,,,1,,,DC,DI,2,0,2,0,0,,,,,,,,3
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,9.00 ,Educatie fizica si sport I,,,1,,,DC,DI,2,0,2,0,0,,,,,,,,2
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,10.00,Matematici speciale,,,1,,,DF,DI,3,2,1,0,0,,,,,,,,3
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,11.00,Desen tehnic si infografica I,,,1,,,DF,DI,4,2,0,2,0,,,,,,,,4
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,12.00,Programarea calculatoarelor si limbaje de programare II,,,1,,,DF,DI,2,1,0,1,0,,,,,,,,3
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,13.00,Fizica,,,1,,,DF,DI,4,2,1,1,0,,,,,,,,4
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,14.00,Tehnologia materialelor,,,1,,,DD,DI,3,2,0,1,0,,,,,,,,3
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,15.00,Mecanica I,,,1,,,DD,DI,4,2,1,1,0,,,,,,,,4
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,16.10,Disciplina socio-umana II,,,1,,,DC,DO,2,1,1,0,0,,,,,,,,2
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,16.20,Etica si integritate academica,,,1,,,DC,DO,2,1,1,0,0,,,,,,,,2
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,17.00,Limbi moderne 2,,,1,,,DC,DI,2,0,2,0,0,,,,,,,,2
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,18.00,Educatie fizica si sport II,,,1,,,DC,DI,2,0,2,0,0,,,,,,,,2
Universitatea Tehnică din Cluj-Napoca, Autovehicule Rutiere Mecatronicǎ şi Mecanicǎ,Autovehicule rutiere și transporturi,Ingineria autovehiculelor,Licenţă,Autovehicule rutiere (AR),IF – învăţământ cu frecvenţă,19.00,Practica de domeniu I (2 sapt),,,1,,,DD,DI,0,0,0,0,0,,,,,,,,3
